Initial computer time: 1556836332.775327921
Initial NTP time:      1556836332.696232319
NTP offset:            1556836332.696232319
##DATA##
timeStamp secondary_task_status
1556836364.228296041 True
1556836394.261257887 False
1556836424.292556047 True
1556836454.320802927 False
1556836484.351922989 True
1556836514.381787062 False
1556836544.215197086 True
1556836574.246726990 False
1556836604.275166035 True
1556836634.304044962 False
1556836664.334800959 True
1556836694.366554022 False
1556836724.194747925 True
1556836754.226821899 False
